[15/06/2011 00:38:19] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:38:24] /addskill Kinazao Meteu Terror, magic level 100
[15/06/2011 00:38:26] /addskill Kinazao Meteu Terror, magic level 100
[15/06/2011 00:38:29] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:29] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:30] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:30] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:31] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:31] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:32] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:32] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:33] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:33] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:34] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:34] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:35] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:36] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:41] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:42] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:42] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:38:43] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:39:04] /addskill Kinazao Meteu Terror, axe fightting
[15/06/2011 00:39:10] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:39:11] /addskill Kinazao Meteu Terror, magic level 
[15/06/2011 00:43:22] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:23] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:24] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:25] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:26] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:27] /addskill Kinazao Meteu Terror, magic level
[15/06/2011 00:43:28] /addskill Kinazao Meteu Terror, magic level
